run,metric,tokens,value
h500,train,4156099,8.328295
h500,train,8312161,8.330556
h500,train,13504363,7.704806
h500,train,17657227,7.450723
h500,train,20765914,7.196196
h500,train,23888713,7.061294
h500,train,28046810,6.814505
h500,train,33237192,6.661059
h500,train,37390033,6.421370
h500,train,41542212,6.260582
h500,train,46736264,6.049138
h500,train,51932519,5.902020
h500,train,57126354,5.721048
h500,train,61275990,5.621833
h500,train,64393399,5.496449
h500,train,69581691,5.397150
h500,train,74780357,5.275352
h500,train,78933751,5.195225
h500,train,84122806,5.108102
h500,train,88281879,5.058227
h500,train,92435498,4.993076
h500,train,97631983,4.935351
h500,train,101780044,4.847704
h500,train,105935365,4.789580
h500,train,111125781,4.725102
h500,train,116318169,4.677332
h500,train,120467388,4.615757
h500,train,124622079,4.576919
h500,train,128783019,4.534580
h500,train,132930506,4.499132
h500,train,138117394,4.449120
h500,train,143317224,4.415938
h500,train,147477730,4.373243
h500,train,151636183,4.345237
h500,train,156840469,4.301546
h500,train,162035251,4.282719
h500,train,166180995,4.243662
h500,train,170338907,4.214757
h500,train,175529128,4.183245
h500,train,179678956,4.171106
h500,train,183834142,4.153342
h500,train,187991521,4.147692
h500,train,192147014,4.115629
h500,train,197347156,4.097647
h500,train,201502282,4.080986
h500,train,205664162,4.064445
h500,train,210858940,4.045935
h500,train,216063308,4.030108
h500,train,221272482,4.014637
h500,train,225428377,4.015166
h500,train,228549389,3.984514
h500,train,232708402,3.968204
h500,train,237907444,3.944991
h500,train,243098556,3.937032
h500,train,247249182,3.914991
h500,train,251404058,3.920262
h500,train,255559099,3.892120
h500,train,259707713,3.897274
h500,train,264902446,3.869290
h500,train,270103008,3.858932
h500,train,274258334,3.862301
h500,train,278409629,3.844956
h500,train,283603456,3.825700
h500,train,288796179,3.819074
h500,train,291913953,3.800767
h500,train,296073703,3.788029
h500,train,301258248,3.777483
h500,train,305414774,3.773779
h500,train,310615749,3.750071
h500,train,314768345,3.738837
h500,train,318928741,3.726974
h500,train,324126013,3.724186
h500,train,328281366,3.714493
h500,train,332445102,3.697425
h500,train,337640181,3.689212
h500,train,341791548,3.676793
h500,train,345946723,3.667455
h500,train,351146393,3.668527
h500,train,355304136,3.658251
h500,train,359459099,3.639067
h500,train,364651721,3.617498
h500,train,369857990,3.611661
h500,train,374015387,3.599834
h500,train,378166745,3.583774
h500,train,383360136,3.587846
h500,train,387515084,3.576537
h500,train,390631328,3.546506
h500,train,394782027,3.534142
h500,train,399979142,3.534636
h500,train,405177044,3.513451
h500,train,410376261,3.508093
h500,train,415574295,3.500575
h500,train,418686200,3.527306
h500,train,422838471,3.513452
h500,train,428039424,3.502513
h500,train,432196688,3.487652
