series,metric,tokens,value
baseline,train_loss,1036717,9.452105
baseline,train_loss,2073434,9.417026
baseline,train_loss,3110151,9.315867
baseline,train_loss,4146868,8.952660
baseline,train_loss,5183585,8.108187
baseline,train_loss,6220302,7.693680
baseline,train_loss,7257019,7.425102
baseline,train_loss,8293736,7.251719
baseline,train_loss,9330452,7.079765
baseline,train_loss,10367169,6.997200
baseline,train_loss,11403886,6.909942
baseline,train_loss,12440603,6.848058
baseline,train_loss,13477320,6.803742
baseline,train_loss,14514037,6.688358
baseline,train_loss,15550754,6.610435
baseline,train_loss,16587471,6.530456
baseline,train_loss,17624188,6.393426
baseline,train_loss,18660905,6.282690
baseline,train_loss,19697622,6.140530
baseline,train_loss,20734339,6.084046
baseline,train_loss,21771056,5.982245
baseline,train_loss,22807773,5.883857
baseline,train_loss,23844490,5.771105
baseline,train_loss,24881207,5.747475
baseline,train_loss,25917924,5.652721
baseline,train_loss,26954641,5.564232
baseline,train_loss,27991357,5.510523
baseline,train_loss,29028074,5.442858
baseline,train_loss,30064791,5.383823
baseline,train_loss,31101508,5.326266
baseline,train_loss,32138225,5.297028
baseline,train_loss,33174942,5.252635
baseline,train_loss,34211659,5.207922
baseline,train_loss,35248376,5.156619
baseline,train_loss,36285093,5.126105
baseline,train_loss,37321810,5.101436
baseline,train_loss,38358527,5.072331
baseline,train_loss,39395244,5.023917
baseline,train_loss,40431961,5.029473
baseline,train_loss,41468678,4.973027
baseline,train_loss,42505395,4.971556
baseline,train_loss,43542112,4.907461
baseline,train_loss,44578829,4.884548
baseline,train_loss,45615546,4.819875
baseline,train_loss,46652262,4.843231
baseline,train_loss,47688979,4.814832
baseline,train_loss,48725696,4.804878
baseline,train_loss,49762413,4.781827
baseline,train_loss,50799130,4.779345
baseline,train_loss,51835847,4.732521
baseline,train_loss,52872564,4.696754
baseline,train_loss,53909281,4.683827
baseline,train_loss,54945998,4.640528
baseline,train_loss,55982715,4.650058
baseline,train_loss,57019432,4.586368
baseline,train_loss,58056149,4.626283
baseline,train_loss,59092866,4.558929
baseline,train_loss,60129583,4.528031
baseline,train_loss,61166300,4.543722
baseline,train_loss,62203017,4.505056
baseline,train_loss,63239734,4.398587
baseline,train_loss,64276450,4.480464
baseline,train_loss,65313167,4.398215
baseline,train_loss,66349884,4.366558
baseline,train_loss,67386601,4.385922
baseline,train_loss,68423318,4.376624
baseline,train_loss,69460035,4.350039
baseline,train_loss,70496752,4.395476
baseline,train_loss,71533469,4.337937
baseline,train_loss,72570186,4.313920
baseline,train_loss,73606903,4.318295
baseline,train_loss,74643620,4.295531
baseline,train_loss,75680337,4.315601
baseline,train_loss,76717054,4.269406
baseline,train_loss,77753771,4.218358
baseline,train_loss,78790488,4.228715
baseline,train_loss,79827205,4.202601
baseline,train_loss,80863922,4.203976
baseline,train_loss,81900639,4.229612
baseline,train_loss,82937355,4.169365
baseline,train_loss,83974072,4.147243
baseline,train_loss,85010789,4.130369
baseline,train_loss,86047506,4.130911
baseline,train_loss,87084223,4.100828
baseline,train_loss,88120940,4.138621
baseline,train_loss,89157657,4.118031
baseline,train_loss,90194374,4.048424
baseline,train_loss,91231091,4.078646
baseline,train_loss,92267808,4.045023
baseline,train_loss,93304525,4.052858
baseline,train_loss,94341242,4.013026
baseline,train_loss,95377959,4.010110
baseline,train_loss,96414676,4.038750
baseline,train_loss,97451393,4.005727
baseline,train_loss,98488110,4.027662
baseline,train_loss,99524827,3.967556
baseline,train_loss,100561544,3.994859
baseline,train_loss,101598260,3.972312
baseline,train_loss,102634977,4.007853
baseline,train_loss,103671694,3.928231
baseline,train_loss,104708411,3.895332
baseline,train_loss,105745128,3.951875
baseline,train_loss,106781845,3.922496
baseline,train_loss,107818562,4.036163
baseline,train_loss,108855279,4.088860
baseline,train_loss,109891996,4.078688
baseline,train_loss,110928713,4.062948
baseline,train_loss,111965430,4.041411
baseline,train_loss,113002147,4.060083
baseline,train_loss,114038864,4.010688
baseline,train_loss,115075581,4.038685
baseline,train_loss,116112298,4.058815
baseline,train_loss,117149015,4.036033
baseline,train_loss,118185732,4.045062
baseline,train_loss,119222448,4.033741
baseline,train_loss,120259165,3.988644
baseline,train_loss,121295882,4.012965
baseline,train_loss,122332599,4.031801
baseline,train_loss,123369316,3.976200
baseline,train_loss,124406033,3.981470
baseline,train_loss,125442750,3.973574
baseline,train_loss,126479467,3.961300
baseline,train_loss,127516184,3.996752
baseline,train_loss,128552901,3.970195
baseline,train_loss,129589618,3.904123
baseline,train_loss,130626335,3.909225
baseline,train_loss,131663052,3.962112
baseline,train_loss,132699769,3.975424
baseline,train_loss,133736486,3.960520
baseline,train_loss,134773203,3.901961
baseline,train_loss,135809920,3.949201
baseline,train_loss,136846637,3.910033
baseline,train_loss,137883353,3.937864
baseline,train_loss,138920070,3.876606
baseline,train_loss,139956787,3.913528
baseline,train_loss,140993504,3.911603
baseline,train_loss,142030221,3.863819
baseline,train_loss,143066938,3.890881
baseline,train_loss,144103655,3.857310
baseline,train_loss,145140372,3.825565
baseline,train_loss,146177089,3.830629
baseline,train_loss,147213806,3.859493
baseline,train_loss,148250523,3.872423
baseline,train_loss,149287240,3.820302
baseline,train_loss,150323957,3.797700
baseline,train_loss,151360674,3.842827
baseline,train_loss,152397391,3.763337
baseline,train_loss,153434108,3.779524
baseline,train_loss,154470825,3.789886
baseline,train_loss,155507542,3.780056
baseline,train_loss,156544258,3.767942
baseline,train_loss,157580975,3.752093
baseline,train_loss,158617692,3.738984
baseline,train_loss,159654409,3.748616
baseline,train_loss,160691126,3.710060
baseline,train_loss,161727843,3.751834
baseline,train_loss,162764560,3.784477
baseline,train_loss,163801277,3.709186
baseline,train_loss,164837994,3.741399
baseline,train_loss,165874711,3.769623
baseline,train_loss,166911428,3.703454
baseline,train_loss,167948145,3.725391
baseline,train_loss,168984862,3.693180
baseline,train_loss,170021579,3.719117
baseline,train_loss,171058296,3.718435
baseline,train_loss,172095013,3.739538
baseline,train_loss,173131730,3.684237
baseline,train_loss,174168447,3.648504
baseline,train_loss,175205163,3.677369
baseline,train_loss,176241880,3.679124
baseline,train_loss,177278597,3.667322
baseline,train_loss,178315314,3.668530
baseline,train_loss,179352031,3.681509
baseline,train_loss,180388748,3.648909
baseline,train_loss,181425465,3.635427
baseline,train_loss,182462182,3.626700
baseline,train_loss,183498899,3.628047
baseline,train_loss,184535616,3.637451
baseline,train_loss,185572333,3.577259
baseline,train_loss,186609050,3.593969
baseline,train_loss,187645767,3.639124
baseline,train_loss,188682484,3.609413
baseline,train_loss,189719201,3.594248
baseline,train_loss,190755918,3.622588
baseline,train_loss,191792635,3.565871
baseline,train_loss,192829351,3.604057
baseline,train_loss,193866068,3.588202
baseline,train_loss,194902785,3.578159
baseline,train_loss,195939502,3.574810
baseline,train_loss,196976219,3.498105
